source,register,label,fact_id,variant_key,n_input_tokens,mean_nll,perplexity,reference_model
medqa-native,native,1,medqa_test_990,medqa_test_990__native__correct,292,1.8704848289489744,6.491442875900454,gemma-2-2b-it
medqa-native,native,0,medqa_test_990,medqa_test_990__native__wrong,293,1.8523406982421875,6.374723376887092,gemma-2-2b-it
medqa-native,native,1,medqa_test_202,medqa_test_202__native__correct,161,2.492199659347534,12.087836019862582,gemma-2-2b-it
medqa-native,native,0,medqa_test_202,medqa_test_202__native__wrong,161,2.4268288612365723,11.322918541551584,gemma-2-2b-it
medqa-native,native,1,medqa_test_1258,medqa_test_1258__native__correct,220,2.0791633129119877,7.997774479473485,gemma-2-2b-it
medqa-native,native,0,medqa_test_1258,medqa_test_1258__native__wrong,219,2.119130373001098,8.323895654899884,gemma-2-2b-it
medqa-native,native,1,medqa_test_277,medqa_test_277__native__correct,151,2.192065477371216,8.95368766801205,gemma-2-2b-it
medqa-native,native,0,medqa_test_277,medqa_test_277__native__wrong,149,2.190415143966675,8.938923284588306,gemma-2-2b-it
medqa-native,native,1,medqa_test_427,medqa_test_427__native__correct,88,2.640946626663208,14.026475160517466,gemma-2-2b-it
medqa-native,native,0,medqa_test_427,medqa_test_427__native__wrong,86,2.709137201309204,15.016313868087574,gemma-2-2b-it
medqa-native,native,1,medqa_test_15,medqa_test_15__native__correct,182,1.88785457611084,6.605182552414614,gemma-2-2b-it
medqa-native,native,0,medqa_test_15,medqa_test_15__native__wrong,184,1.872433423995972,6.504104401422917,gemma-2-2b-it
medqa-native,native,1,medqa_test_1202,medqa_test_1202__native__correct,192,2.095945119857788,8.133124116001772,gemma-2-2b-it
medqa-native,native,0,medqa_test_1202,medqa_test_1202__native__wrong,193,2.1110339164733887,8.256773687303081,gemma-2-2b-it
medqa-native,native,1,medqa_test_1027,medqa_test_1027__native__correct,140,1.8678065538406368,6.474080267328638,gemma-2-2b-it
medqa-native,native,0,medqa_test_1027,medqa_test_1027__native__wrong,140,1.8681869506835935,6.476543455488175,gemma-2-2b-it
medqa-native,native,1,medqa_test_827,medqa_test_827__native__correct,185,2.4280121326446533,11.336324557231178,gemma-2-2b-it
medqa-native,native,0,medqa_test_827,medqa_test_827__native__wrong,178,2.527702808380127,12.524701425209026,gemma-2-2b-it
medqa-native,native,1,medqa_test_503,medqa_test_503__native__correct,88,2.520092010498047,12.429740277558022,gemma-2-2b-it
medqa-native,native,0,medqa_test_503,medqa_test_503__native__wrong,90,2.4898152351379395,12.05904782628762,gemma-2-2b-it
medqa-native,native,1,medqa_test_325,medqa_test_325__native__correct,133,1.8074551820755005,6.0949172252341866,gemma-2-2b-it
medqa-native,native,0,medqa_test_325,medqa_test_325__native__wrong,130,2.0013208389282227,7.398822300238518,gemma-2-2b-it
medqa-native,native,1,medqa_test_681,medqa_test_681__native__correct,254,1.825344204902649,6.204930419047049,gemma-2-2b-it
medqa-native,native,0,medqa_test_681,medqa_test_681__native__wrong,254,1.8383731842041016,6.286303280595323,gemma-2-2b-it
medqa-native,native,1,medqa_test_932,medqa_test_932__native__correct,189,2.26903772354126,9.670091034543972,gemma-2-2b-it
medqa-native,native,0,medqa_test_932,medqa_test_932__native__wrong,187,2.2166547775268555,9.176581755734029,gemma-2-2b-it
medqa-native,native,1,medqa_test_387,medqa_test_387__native__correct,204,2.289059638977051,9.865656039404792,gemma-2-2b-it
medqa-native,native,0,medqa_test_387,medqa_test_387__native__wrong,206,2.279048204421997,9.767379435362766,gemma-2-2b-it
medqa-native,native,1,medqa_test_235,medqa_test_235__native__correct,130,2.049298048019409,7.762450326056979,gemma-2-2b-it
medqa-native,native,0,medqa_test_235,medqa_test_235__native__wrong,130,2.007588148117065,7.445338621049758,gemma-2-2b-it
medqa-native,native,1,medqa_test_66,medqa_test_66__native__correct,174,1.7885634899139404,5.980854734348068,gemma-2-2b-it
medqa-native,native,0,medqa_test_66,medqa_test_66__native__wrong,175,1.786970853805542,5.971336990302284,gemma-2-2b-it
medqa-native,native,1,medqa_test_347,medqa_test_347__native__correct,187,1.7355997562408447,5.672328798416134,gemma-2-2b-it
medqa-native,native,0,medqa_test_347,medqa_test_347__native__wrong,190,1.7764296531677246,5.908722524627002,gemma-2-2b-it
medqa-native,native,1,medqa_test_442,medqa_test_442__native__correct,148,2.495071649551392,12.1226020664733,gemma-2-2b-it
