model,layer,position,eval_set,n,auroc,ci_lo,ci_hi,ece
gemma-2-2b-it,1,last_question_token,medqa_textbook_heldout,200,0.6841,0.6163774999999999,0.7422150000000001,0.2747379852429547
gemma-2-2b-it,1,last_question_token,medmcqa,1000,0.516176,0.4988051,0.5336893500000001,0.4954463742513852
gemma-2-2b-it,3,last_question_token,medqa_textbook_heldout,200,0.7326,0.6664850000000001,0.7893075,0.2674228859038475
gemma-2-2b-it,3,last_question_token,medmcqa,1000,0.4974959999999999,0.4809107,0.5123968999999999,0.4959389477880612
gemma-2-2b-it,5,last_question_token,medqa_textbook_heldout,200,0.7153000000000002,0.6377925,0.7856150000000001,0.2661652962114087
gemma-2-2b-it,5,last_question_token,medmcqa,1000,0.499664,0.4831154,0.5161783999999999,0.455107224999861
gemma-2-2b-it,7,last_question_token,medqa_textbook_heldout,200,0.6977,0.6323875000000001,0.7618225,0.3151364337900095
gemma-2-2b-it,7,last_question_token,medmcqa,1000,0.491604,0.4774047,0.5055092,0.4405338789040749
gemma-2-2b-it,9,last_question_token,medqa_textbook_heldout,200,0.7036,0.6471,0.7582150000000001,0.2972336102804421
gemma-2-2b-it,9,last_question_token,medmcqa,1000,0.502666,0.48996535,0.5155976499999999,0.4687182366789143
gemma-2-2b-it,11,last_question_token,medqa_textbook_heldout,200,0.6901999999999999,0.6277974999999999,0.7485025000000001,0.2982202294116408
gemma-2-2b-it,11,last_question_token,medmcqa,1000,0.49971,0.48368605,0.5151308499999999,0.4369465461516343
gemma-2-2b-it,13,last_question_token,medqa_textbook_heldout,200,0.7062,0.6434975,0.7644075,0.2978313127109645
gemma-2-2b-it,13,last_question_token,medmcqa,1000,0.527416,0.5111295,0.5446018,0.4269138873160988
gemma-2-2b-it,15,last_question_token,medqa_textbook_heldout,200,0.7372000000000001,0.66888,0.7980099999999999,0.2600837978916554
gemma-2-2b-it,15,last_question_token,medmcqa,1000,0.520356,0.5025383999999999,0.5378082000000001,0.4904737437891548
gemma-2-2b-it,17,last_question_token,medqa_textbook_heldout,200,0.7246,0.663895,0.7839025,0.2938199610613367
gemma-2-2b-it,17,last_question_token,medmcqa,1000,0.5252920000000001,0.5012546,0.5477154,0.456170718725969
gemma-2-2b-it,1,first_answer_token,medqa_textbook_heldout,200,0.6939,0.637195,0.754,0.1816243672317082
gemma-2-2b-it,1,first_answer_token,medmcqa,1000,0.461148,0.4365717,0.4863848,0.4499493857169699
gemma-2-2b-it,3,first_answer_token,medqa_textbook_heldout,200,0.7058,0.6352875,0.767815,0.2111682682457727
gemma-2-2b-it,3,first_answer_token,medmcqa,1000,0.5101920000000001,0.4894955,0.5305669999999999,0.4854082344172736
gemma-2-2b-it,5,first_answer_token,medqa_textbook_heldout,200,0.6954,0.6260975000000001,0.7631,0.2339330626112825
