model,generator,split_id,seed,layer,position,n_train_specialties,n_test_specialties,n_train_facts,n_test_facts_in,n_test_facts_out,in_dist_auroc,in_dist_ci_lo,in_dist_ci_hi,heldout_specialty_auroc,heldout_ci_lo,heldout_ci_hi,delta_specialty
gemma-2-2b-it,sonnet,0,42,1,last_question_token,7,8,137,34,180,0.6885813148788927,0.5683174740484429,0.8028114186851211,0.6589506172839507,0.6214506172839507,0.6994837962962963,0.029630697594942
gemma-2-2b-it,sonnet,1,1042,1,last_question_token,7,8,136,34,181,0.6704152249134948,0.5484429065743945,0.7690527681660899,0.6504990690149873,0.6101629986874638,0.6912273740117822,0.0199161558985074
gemma-2-2b-it,sonnet,2,2042,1,last_question_token,7,8,145,36,170,0.7029320987654321,0.5956597222222221,0.7994020061728395,0.6997923875432526,0.6551868512110728,0.7434307958477508,0.0031397112221794
gemma-2-2b-it,sonnet,3,3042,1,last_question_token,7,8,126,32,193,0.7294921875,0.6327880859375,0.818359375,0.6263792316572256,0.5810860694246827,0.6723697280463906,0.1031129558427743
gemma-2-2b-it,sonnet,4,4042,1,last_question_token,7,8,131,33,187,0.6666666666666667,0.5353305785123967,0.7759641873278237,0.6349052017501216,0.5950184449083474,0.6760595098515828,0.0317614649165451
gemma-2-2b-it,sonnet,0,42,3,last_question_token,7,8,137,34,180,0.6686851211072664,0.5709342560553633,0.7629757785467128,0.6448148148148148,0.6051543209876544,0.6855864197530864,0.0238703062924515
gemma-2-2b-it,sonnet,1,1042,3,last_question_token,7,8,136,34,181,0.6678200692041522,0.5579368512110727,0.7724913494809688,0.6537956716827935,0.6155436341992002,0.693908152986783,0.0140243975213586
gemma-2-2b-it,sonnet,2,2042,3,last_question_token,7,8,145,36,170,0.7145061728395061,0.6126157407407407,0.816358024691358,0.683044982698962,0.6414403114186851,0.7215968858131488,0.0314611901405441
gemma-2-2b-it,sonnet,3,3042,3,last_question_token,7,8,126,32,193,0.6865234375,0.591796875,0.7783447265625,0.6461113050014765,0.6090821230100136,0.6858754597438858,0.0404121324985234
gemma-2-2b-it,sonnet,4,4042,3,last_question_token,7,8,131,33,187,0.6712580348943985,0.556473829201102,0.7768824609733701,0.6713946638451199,0.6295211473018959,0.7158740598816095,-0.0001366289507214
gemma-2-2b-it,sonnet,0,42,5,last_question_token,7,8,137,34,180,0.6384083044982699,0.5268166089965398,0.7509731833910034,0.6473456790123456,0.6055208333333333,0.692037037037037,-0.0089373745140757
gemma-2-2b-it,sonnet,1,1042,5,last_question_token,7,8,136,34,181,0.6859861591695501,0.572621107266436,0.7958693771626296,0.6694850584536491,0.6236607551662038,0.7147263514544733,0.0165011007159009
gemma-2-2b-it,sonnet,2,2042,5,last_question_token,7,8,145,36,170,0.7299382716049383,0.6041473765432097,0.8333719135802468,0.6840484429065745,0.6408555363321801,0.7258961937716263,0.0458898286983637
gemma-2-2b-it,sonnet,3,3042,5,last_question_token,7,8,126,32,193,0.6767578125,0.59560546875,0.771484375,0.6664071518698489,0.624222126768504,0.7097915380278665,0.0103506606301511
gemma-2-2b-it,sonnet,4,4042,5,last_question_token,7,8,131,33,187,0.6960514233241506,0.5775482093663912,0.8081037649219467,0.6810031742400412,0.6316809173839686,0.7253059853012668,0.0150482490841094
gemma-2-2b-it,sonnet,0,42,7,last_question_token,7,8,137,34,180,0.6937716262975778,0.6029411764705882,0.7958693771626297,0.6784567901234568,0.638755401234568,0.720341049382716,0.0153148361741209
gemma-2-2b-it,sonnet,1,1042,7,last_question_token,7,8,136,34,181,0.671280276816609,0.5414359861591695,0.7750865051903113,0.686395409175544,0.6427413693110711,0.7275777601416319,-0.015115132358935
gemma-2-2b-it,sonnet,2,2042,7,last_question_token,7,8,145,36,170,0.7415123456790124,0.6349922839506174,0.8426504629629631,0.7255363321799307,0.6808935986159169,0.7706695501730103,0.0159760134990816
gemma-2-2b-it,sonnet,3,3042,7,last_question_token,7,8,126,32,193,0.7353515625,0.6445068359375,0.8349609375,0.6806088754060511,0.6414427232945851,0.726251711455341,0.0547426870939489
gemma-2-2b-it,sonnet,4,4042,7,last_question_token,7,8,131,33,187,0.7603305785123967,0.6491735537190081,0.8586088154269971,0.6934713603477366,0.6525208041408104,0.7352841087820641,0.0668592181646601
gemma-2-2b-it,sonnet,0,42,9,last_question_token,7,8,137,34,180,0.6937716262975778,0.6011894463667821,0.7881055363321798,0.6854938271604938,0.6438518518518518,0.7292507716049383,0.008277799137084
