model,generator,layer,position,register,n,auroc_logreg,logreg_ci_lo,logreg_ci_hi,auroc_diff_means,delta_auroc
gemma-2-2b-it,sonnet,15,last_question_token,textbook,200,0.7368,0.6680925,0.7974249999999999,0.7470000000000001,-0.0102
gemma-2-2b-it,sonnet,15,last_question_token,patient,1000,0.7452799999999999,0.7229677,0.7706044000000001,0.7235039999999999,0.021776
gemma-2-2b-it,sonnet,15,last_question_token,clinical_note,1000,0.658828,0.6332610999999999,0.6834644000000001,0.6917880000000001,-0.0329600000000001
gemma-2-2b-it,sonnet,15,last_question_token,colloquial,1000,0.686732,0.6604211999999999,0.7135762999999999,0.6692040000000001,0.0175279999999998
gemma-2-2b-it,sonnet,13,first_answer_token,textbook,200,0.7524,0.6965749999999999,0.8090099999999999,0.6636,0.0887999999999999
gemma-2-2b-it,sonnet,13,first_answer_token,patient,1000,0.682744,0.6563226999999999,0.7087139,0.6312760000000001,0.0514679999999999
gemma-2-2b-it,sonnet,13,first_answer_token,clinical_note,1000,0.5125959999999999,0.4844118999999999,0.5389455,0.626668,-0.114072
gemma-2-2b-it,sonnet,13,first_answer_token,colloquial,1000,0.560568,0.5327748,0.5863176999999999,0.613882,-0.053314
qwen2.5-7b-instruct,sonnet,23,last_question_token,textbook,200,0.7947,0.7355975,0.851,0.7491999999999999,0.0455
qwen2.5-7b-instruct,sonnet,23,last_question_token,patient,1000,0.7516719999999999,0.7286518999999999,0.7759684,0.7447559999999999,0.006916
qwen2.5-7b-instruct,sonnet,23,last_question_token,clinical_note,1000,0.7120479999999999,0.6861107,0.7367708,0.75502,-0.0429720000000001
qwen2.5-7b-instruct,sonnet,23,last_question_token,colloquial,1000,0.7446359999999999,0.7192371999999999,0.7701993999999999,0.722672,0.0219639999999998
qwen2.5-7b-instruct,sonnet,21,first_answer_token,textbook,200,0.8028000000000001,0.7476975,0.8613074999999999,0.7392000000000001,0.0635999999999999
qwen2.5-7b-instruct,sonnet,21,first_answer_token,patient,1000,0.7448600000000001,0.7184029,0.7702884000000001,0.714388,0.030472
qwen2.5-7b-instruct,sonnet,21,first_answer_token,clinical_note,1000,0.6324239999999999,0.601049,0.6631684,0.739524,-0.1071
qwen2.5-7b-instruct,sonnet,21,first_answer_token,colloquial,1000,0.7102120000000001,0.6829008999999999,0.7361091000000001,0.70652,0.003692
gemma-3-4b-it,sonnet,25,last_question_token,textbook,200,0.7696999999999999,0.7072575000000001,0.8287224999999999,0.7313000000000001,0.0383999999999998
gemma-3-4b-it,sonnet,25,last_question_token,patient,1000,0.691216,0.6652041000000001,0.7169993,0.669864,0.021352
gemma-3-4b-it,sonnet,25,last_question_token,clinical_note,1000,0.5880879999999999,0.5621008,0.6154286,0.70028,-0.112192
gemma-3-4b-it,sonnet,25,last_question_token,colloquial,1000,0.639112,0.6134661,0.6643403,0.632268,0.0068439999999999
gemma-3-4b-it,sonnet,7,first_answer_token,textbook,200,0.7738999999999999,0.7165775,0.8260474999999999,0.6557999999999999,0.1180999999999999
gemma-3-4b-it,sonnet,7,first_answer_token,patient,1000,0.506016,0.4782428999999999,0.5343746,0.636244,-0.130228
gemma-3-4b-it,sonnet,7,first_answer_token,clinical_note,1000,0.458864,0.4348394,0.4852145999999999,0.64034,-0.181476
gemma-3-4b-it,sonnet,7,first_answer_token,colloquial,1000,0.45028,0.4240033,0.4793266,0.613882,-0.163602
llama-3-8b-instruct,sonnet,29,last_question_token,textbook,200,0.8014,0.7424875000000001,0.8572100000000001,0.7888,0.0126
llama-3-8b-instruct,sonnet,29,last_question_token,patient,1000,0.7597619999999999,0.7353353,0.7841084,0.753284,0.0064779999999999
llama-3-8b-instruct,sonnet,29,last_question_token,clinical_note,1000,0.73182,0.7084084,0.7579309999999999,0.777544,-0.0457239999999999
llama-3-8b-instruct,sonnet,29,last_question_token,colloquial,1000,0.7262060000000001,0.7010026499999998,0.7520927,0.734632,-0.0084259999999998
llama-3-8b-instruct,sonnet,11,first_answer_token,textbook,200,0.7904,0.7293975,0.84044,0.7727999999999999,0.0176
llama-3-8b-instruct,sonnet,11,first_answer_token,patient,1000,0.714742,0.6882472500000001,0.74128255,0.692972,0.0217699999999999
llama-3-8b-instruct,sonnet,11,first_answer_token,clinical_note,1000,0.6619999999999999,0.6363562999999999,0.6862067999999999,0.7320399999999999,-0.0700399999999999
llama-3-8b-instruct,sonnet,11,first_answer_token,colloquial,1000,0.6729160000000001,0.6465675999999999,0.6992455000000001,0.6770039999999999,-0.0040879999999998
